age_upon_outcome,animal_id_outcome,date_of_birth,outcome_subtype,outcome_type,sex_upon_outcome,age_upon_outcome_(days),age_upon_outcome_(years),age_upon_outcome_age_group,outcome_datetime,outcome_month,outcome_year,outcome_monthyear,outcome_weekday,outcome_hour,outcome_number,dob_year,dob_month,dob_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,found_location,intake_condition,intake_type,sex_upon_intake,count,age_upon_intake_(days),age_upon_intake_(years),age_upon_intake_age_group,intake_datetime,intake_month,intake_year,intake_monthyear,intake_weekday,intake_hour,intake_number,time_in_shelter,time_in_shelter_days
11 years,A517675,2004-07-29 0:00,,Adoption,Spayed Female,4015,11,"(10.0, 12.5]",2015-09-05 13:53,9,2015,Sep-15,Saturday,13,2,2004,7,Sep-15,11 years,A517675,Dog,Australian Cattle Dog,White/Black,Austin (TX),Normal,Owner Surrender,Spayed Female,1,4015,11,"(10.0, 12.5]",2015-09-03 17:23,9,2015,Sep-15,Thursday,17,2,1 days 20:30:00.000000000,1.854166667
11 years,A517675,2004-07-29 0:00,,Adoption,Spayed Female,4015,11,"(10.0, 12.5]",2015-08-29 12:49,8,2015,Aug-15,Saturday,12,3,2004,7,Aug-15,11 years,A517675,Dog,Australian Cattle Dog,White/Black,6902 Deep Cir #A in Austin (TX),Normal,Owner Surrender,Spayed Female,1,4015,11,"(10.0, 12.5]",2015-08-05 15:57,8,2015,Aug-15,Wednesday,15,3,23 days 20:52:00.000000000,23.86944444
6 years,A518184,2008-05-24 0:00,,Return to Owner,Neutered Male,2190,6,"(5.0, 7.5]",2015-03-12 13:15,3,2015,Mar-15,Thursday,13,1,2008,5,Mar-15,6 years,A518184,Dog,Plott Hound,Brown Brindle/White,Shady And Airport Blvd in Austin (TX),Normal,Stray,Neutered Male,1,2190,6,"(5.0, 7.5]",2015-03-12 12:17,3,2015,Mar-15,Thursday,12,1,0 days 00:58:00.000000000,0.040277778
5 years,A518264,2008-01-12 0:00,,Return to Owner,Neutered Male,1825,5,"(2.5, 5.0]",2013-10-20 13:24,10,2013,Oct-13,Sunday,13,1,2008,1,Oct-13,5 years,A518264,Dog,Great Dane Mix,Black/White,1304 Willow St in Austin (TX),Normal,Stray,Neutered Male,1,1825,5,"(2.5, 5.0]",2013-10-20 11:19,10,2013,Oct-13,Sunday,11,1,0 days 02:05:00.000000000,0.086805556
9 years,A518545,2004-08-07 0:00,,Return to Owner,Spayed Female,3285,9,"(7.5, 10.0]",2014-05-23 13:44,5,2014,May-14,Friday,13,1,2004,8,May-14,9 years,A518545,Dog,Labrador Retriever Mix,Red,Austin (TX),Normal,Public Assist,Spayed Female,1,3285,9,"(7.5, 10.0]",2014-05-16 13:51,5,2014,May-14,Friday,13,1,6 days 23:53:00.000000000,6.995138889
9 years,A518769,2008-06-17 0:00,,Return to Owner,Spayed Female,3285,9,"(7.5, 10.0]",2017-12-15 10:21,12,2017,Dec-17,Friday,10,1,2008,6,Dec-17,9 years,A518769,Dog,Labrador Retriever Mix,Brown/Black,2705 Princetron Drive in Austin (TX),Normal,Stray,Spayed Female,1,3285,9,"(7.5, 10.0]",2017-12-06 13:05,12,2017,Dec-17,Wednesday,13,1,8 days 21:16:00.000000000,8.886111111
8 years,A518911,2006-08-11 0:00,,Return to Owner,Spayed Female,2920,8,"(7.5, 10.0]",2014-09-20 18:40,9,2014,Sep-14,Saturday,18,1,2006,8,Sep-14,8 years,A518911,Dog,Beagle,Tricolor,4711 Sara Drive in Austin (TX),Normal,Stray,Spayed Female,1,2920,8,"(7.5, 10.0]",2014-09-20 11:27,9,2014,Sep-14,Saturday,11,1,0 days 07:13:00.000000000,0.300694444
9 years,A518937,2006-08-11 0:00,,Return to Owner,Spayed Female,3285,9,"(7.5, 10.0]",2015-11-17 13:30,11,2015,Nov-15,Tuesday,13,1,2006,8,Nov-15,9 years,A518937,Dog,Labrador Retriever Mix,Chocolate,1511 Cripple Creek Dr in Austin (TX),Normal,Stray,Spayed Female,1,3285,9,"(7.5, 10.0]",2015-11-12 11:21,11,2015,Nov-15,Thursday,11,1,5 days 02:09:00.000000000,5.089583333
6 years,A519025,2007-10-12 0:00,,Adoption,Neutered Male,2190,6,"(5.0, 7.5]",2014-04-05 14:16,4,2014,Apr-14,Saturday,14,1,2007,10,Apr-14,6 years,A519025,Cat,Domestic Shorthair Mix,Blue Tabby,Austin (TX),Normal,Owner Surrender,Neutered Male,1,2190,6,"(5.0, 7.5]",2014-04-01 11:56,4,2014,Apr-14,Tuesday,11,1,4 days 02:20:00.000000000,4.097222222
6 years,A519536,2008-07-02 0:00,Partner,Transfer,Spayed Female,2190,6,"(5.0, 7.5]",2015-06-17 14:45,6,2015,Jun-15,Wednesday,14,1,2008,7,Jun-15,6 years,A519536,Cat,Siamese Mix,Calico Point,11846 Jollyville in Austin (TX),Normal,Stray,Spayed Female,1,2190,6,"(5.0, 7.5]",2015-06-09 17:17,6,2015,Jun-15,Tuesday,17,1,7 days 21:28:00.000000000,7.894444444
6 years,A519888,2008-01-30 0:00,Aggressive,Euthanasia,Neutered Male,2190,6,"(5.0, 7.5]",2015-01-09 12:10,1,2015,Jan-15,Friday,12,1,2008,1,Jan-15,6 years,A519888,Dog,Labrador Retriever/Beagle,Tan/Black,Austin (TX),Normal,Euthanasia Request,Neutered Male,1,2190,6,"(5.0, 7.5]",2015-01-09 11:16,1,2015,Jan-15,Friday,11,1,0 days 00:54:00.000000000,0.0375
9 years,A519949,2005-02-21 0:00,,Return to Owner,Spayed Female,3285,9,"(7.5, 10.0]",2014-06-30 17:34,6,2014,Jun-14,Monday,17,1,2005,2,Jun-14,9 years,A519949,Dog,Bullmastiff Mix,Black,12221 N Mopac in Austin (TX),Normal,Public Assist,Spayed Female,1,3285,9,"(7.5, 10.0]",2014-06-26 0:14,6,2014,Jun-14,Thursday,0,1,4 days 17:20:00.000000000,4.722222222
6 years,A520040,2008-06-13 0:00,,Return to Owner,Spayed Female,2190,6,"(5.0, 7.5]",2014-07-22 17:17,7,2014,Jul-14,Tuesday,17,1,2008,6,Jul-14,6 years,A520040,Dog,Labrador Retriever/Queensland Heeler,Black/White,Austin (TX),Normal,Public Assist,Spayed Female,1,2190,6,"(5.0, 7.5]",2014-07-14 17:09,7,2014,Jul-14,Monday,17,1,8 days 00:08:00.000000000,8.005555556
5 years,A520195,2008-07-08 0:00,Suffering,Euthanasia,Spayed Female,1825,5,"(2.5, 5.0]",2013-11-10 18:42,11,2013,Nov-13,Sunday,18,1,2008,7,Nov-13,5 years,A520195,Cat,Domestic Longhair Mix,White/Black,7600 Carver Ave in Austin (TX),Injured,Stray,Spayed Female,1,1825,5,"(2.5, 5.0]",2013-11-10 16:52,11,2013,Nov-13,Sunday,16,1,0 days 01:50:00.000000000,0.076388889
8 years,A520337,2008-08-03 0:00,,Return to Owner,Neutered Male,2920,8,"(7.5, 10.0]",2017-07-23 18:57,7,2017,Jul-17,Sunday,18,1,2008,8,Jul-17,8 years,A520337,Dog,Pit Bull Mix,Black,Exposition And Enfield in Austin (TX),Normal,Stray,Neutered Male,1,2920,8,"(7.5, 10.0]",2017-07-23 16:40,7,2017,Jul-17,Sunday,16,1,0 days 02:17:00.000000000,0.095138889
8 years,A520355,2006-08-25 0:00,,Return to Owner,Neutered Male,2920,8,"(7.5, 10.0]",2015-03-30 14:29,3,2015,Mar-15,Monday,14,1,2006,8,Mar-15,8 years,A520355,Dog,Border Collie/Boxer,Black/White,2401 Manor Rd in Austin (TX),Normal,Stray,Neutered Male,1,2920,8,"(7.5, 10.0]",2015-03-30 11:55,3,2015,Mar-15,Monday,11,1,0 days 02:34:00.000000000,0.106944444
6 years,A520572,2007-10-28 0:00,,Return to Owner,Spayed Female,2190,6,"(5.0, 7.5]",2014-03-22 17:23,3,2014,Mar-14,Saturday,17,1,2007,10,Mar-14,6 years,A520572,Dog,Catahoula Mix,Brown Brindle/White,Kanavagh in Austin (TX),Normal,Stray,Spayed Female,1,2190,6,"(5.0, 7.5]",2014-03-16 13:39,3,2014,Mar-14,Sunday,13,1,6 days 03:44:00.000000000,6.155555556
9 years,A520786,2008-04-07 0:00,,Adoption,Spayed Female,3285,9,"(7.5, 10.0]",2018-03-21 15:13,3,2018,Mar-18,Wednesday,15,1,2008,4,Mar-18,9 years,A520786,Cat,Domestic Shorthair Mix,Black,Austin (TX),Normal,Owner Surrender,Spayed Female,1,3285,9,"(7.5, 10.0]",2018-02-25 11:46,2,2018,Feb-18,Sunday,11,1,24 days 03:27:00.000000000,24.14375
7 years,A521224,2006-09-03 0:00,,Return to Owner,Spayed Female,2555,7,"(5.0, 7.5]",2014-04-07 14:46,4,2014,Apr-14,Monday,14,1,2006,9,Apr-14,7 years,A521224,Dog,Rottweiler Mix,Black/Brown,910 Fiesta in Austin (TX),Normal,Stray,Spayed Female,1,2555,7,"(5.0, 7.5]",2014-04-07 13:19,4,2014,Apr-14,Monday,13,1,0 days 01:27:00.000000000,0.060416667
10 years,A521233,2006-09-04 0:00,,Return to Owner,Neutered Male,3650,10,"(7.5, 10.0]",2017-03-27 16:02,3,2017,Mar-17,Monday,16,1,2006,9,Mar-17,10 years,A521233,Dog,Maltese Mix,White,Loyola Ln And Kings Point in Austin (TX),Normal,Stray,Neutered Male,1,3650,10,"(7.5, 10.0]",2017-03-22 15:10,3,2017,Mar-17,Wednesday,15,1,5 days 00:52:00.000000000,5.036111111
7 years,A521273,2008-04-04 0:00,,Return to Owner,Spayed Female,2555,7,"(5.0, 7.5]",2015-12-30 15:20,12,2015,Dec-15,Wednesday,15,1,2008,4,Dec-15,7 years,A521273,Dog,Chow Chow/Australian Kelpie,Tan,4800 Shaw Ln in Austin (TX),Normal,Stray,Spayed Female,1,2555,7,"(5.0, 7.5]",2015-12-30 11:30,12,2015,Dec-15,Wednesday,11,1,0 days 03:50:00.000000000,0.159722222
8 years,A521316,2007-09-04 0:00,,Return to Owner,Spayed Female,2920,8,"(7.5, 10.0]",2015-11-24 17:14,11,2015,Nov-15,Tuesday,17,1,2007,9,Nov-15,8 years,A521316,Dog,Chihuahua Shorthair Mix,Tan/Tan,Austin (TX),Normal,Owner Surrender,Spayed Female,1,2920,8,"(7.5, 10.0]",2015-11-23 16:40,11,2015,Nov-15,Monday,16,1,1 days 00:34:00.000000000,1.023611111
7 years,A521520,2006-09-07 0:00,,Return to Owner,Spayed Female,2555,7,"(5.0, 7.5]",2013-10-01 15:39,10,2013,Oct-13,Tuesday,15,1,2006,9,Oct-13,7 years,A521520,Dog,Border Terrier/Border Collie,White/Tan,Norht Ec in Austin (TX),Normal,Stray,Spayed Female,1,2555,7,"(5.0, 7.5]",2013-10-01 7:51,10,2013,Oct-13,Tuesday,7,1,0 days 07:48:00.000000000,0.325
7 years,A521781,2008-05-11 0:00,,Return to Owner,Neutered Male,2555,7,"(5.0, 7.5]",2016-04-10 13:56,4,2016,Apr-16,Sunday,13,1,2008,5,Apr-16,7 years,A521781,Dog,Pointer/Pit Bull,Chocolate/White,Elroy And 130 in Travis (TX),Normal,Stray,Neutered Male,1,2555,7,"(5.0, 7.5]",2016-04-09 13:47,4,2016,Apr-16,Saturday,13,1,1 days 00:09:00.000000000,1.00625
6 years,A521806,2008-07-13 0:00,Partner,Transfer,Spayed Female,2190,6,"(5.0, 7.5]",2014-09-16 11:30,9,2014,Sep-14,Tuesday,11,1,2008,7,Sep-14,5 years,A521806,Cat,Domestic Shorthair Mix,Black,Austin (TX),Normal,Owner Surrender,Spayed Female,1,1825,5,"(2.5, 5.0]",2014-03-28 14:10,3,2014,Mar-14,Friday,14,1,171 days 21:20:00.000000000,171.8888889
7 years,A521865,2006-09-10 0:00,,Return to Owner,Neutered Male,2555,7,"(5.0, 7.5]",2014-06-02 12:53,6,2014,Jun-14,Monday,12,1,2006,9,Jun-14,7 years,A521865,Dog,Pit Bull Mix,Black Brindle/White,Deer Canyon Trail in Travis (TX),Injured,Stray,Neutered Male,1,2555,7,"(5.0, 7.5]",2014-05-22 17:41,5,2014,May-14,Thursday,17,1,10 days 19:12:00.000000000,10.8
12 years,A521990,2003-09-12 0:00,,Adoption,Spayed Female,4380,12,"(10.0, 12.5]",2016-05-28 15:52,5,2016,May-16,Saturday,15,1,2003,9,May-16,12 years,A521990,Dog,Chihuahua Shorthair Mix,Black/White,E Cesar Chavez St & N Pleasant Valley Rd in Austin (TX),Normal,Stray,Spayed Female,1,4380,12,"(10.0, 12.5]",2016-05-12 16:46,5,2016,May-16,Thursday,16,1,15 days 23:06:00.000000000,15.9625
10 years,A522050,2003-09-12 0:00,,Return to Owner,Neutered Male,3650,10,"(7.5, 10.0]",2014-08-20 15:38,8,2014,Aug-14,Wednesday,15,1,2003,9,Aug-14,10 years,A522050,Dog,Shih Tzu,Buff/Gray,4308 Scarbrough in Austin (TX),Normal,Public Assist,Neutered Male,1,3650,10,"(7.5, 10.0]",2014-08-11 18:52,8,2014,Aug-14,Monday,18,1,8 days 20:46:00.000000000,8.865277778
17 years,A522054,1999-09-19 0:00,Partner,Transfer,Spayed Female,6205,17,"(15.0, 17.5]",2017-07-10 14:30,7,2017,Jul-17,Monday,14,1,1999,9,Jul-17,17 years,A522054,Dog,Chihuahua Shorthair Mix,White,Austin (TX),Aged,Owner Surrender,Spayed Female,1,6205,17,"(15.0, 17.5]",2017-07-08 11:26,7,2017,Jul-17,Saturday,11,1,2 days 03:04:00.000000000,2.127777778
5 years,A522484,2008-07-03 0:00,,Return to Owner,Spayed Female,1825,5,"(2.5, 5.0]",2014-05-19 13:12,5,2014,May-14,Monday,13,1,2008,7,May-14,5 years,A522484,Cat,Domestic Shorthair Mix,Blue Tabby,Austin (TX),Normal,Public Assist,Spayed Female,1,1825,5,"(2.5, 5.0]",2014-05-10 17:09,5,2014,May-14,Saturday,17,1,8 days 20:03:00.000000000,8.835416667
7 years,A522774,2006-10-02 0:00,,Return to Owner,Neutered Male,2555,7,"(5.0, 7.5]",2013-12-23 16:45,12,2013,Dec-13,Monday,16,1,2006,10,Dec-13,7 years,A522774,Dog,Chihuahua Shorthair,Tricolor,Berkman And Rogge in Austin (TX),Normal,Stray,Neutered Male,1,2555,7,"(5.0, 7.5]",2013-12-23 15:47,12,2013,Dec-13,Monday,15,1,0 days 00:58:00.000000000,0.040277778
8 years,A522809,2006-09-20 0:00,,Return to Owner,Neutered Male,2920,8,"(7.5, 10.0]",2014-12-08 12:02,12,2014,Dec-14,Monday,12,1,2006,9,Dec-14,8 years,A522809,Dog,Catahoula/Pit Bull,White/Tan,1600 Wells Branch Pkwy in Travis (TX),Normal,Public Assist,Neutered Male,1,2920,8,"(7.5, 10.0]",2014-11-27 19:39,11,2014,Nov-14,Thursday,19,1,10 days 16:23:00.000000000,10.68263889
9 years,A522952,2005-09-22 0:00,Suffering,Euthanasia,Intact Female,3285,9,"(7.5, 10.0]",2014-12-08 11:56,12,2014,Dec-14,Monday,11,1,2005,9,Dec-14,9 years,A522952,Dog,American Staffordshire Terrier,Black/White,Austin (TX),Injured,Euthanasia Request,Intact Female,1,3285,9,"(7.5, 10.0]",2014-12-08 9:35,12,2014,Dec-14,Monday,9,1,0 days 02:21:00.000000000,0.097916667
9 years,A523102,2008-05-23 0:00,Foster,Adoption,Neutered Male,3285,9,"(7.5, 10.0]",2018-03-22 13:45,3,2018,Mar-18,Thursday,13,1,2008,5,Mar-18,9 years,A523102,Cat,Domestic Shorthair Mix,Brown Tabby,Austin (TX),Normal,Owner Surrender,Neutered Male,1,3285,9,"(7.5, 10.0]",2018-01-22 13:21,1,2018,Jan-18,Monday,13,1,59 days 00:24:00.000000000,59.01666667
7 years,A523114,2007-09-24 0:00,,Return to Owner,Spayed Female,2555,7,"(5.0, 7.5]",2015-04-26 13:53,4,2015,Apr-15,Sunday,13,1,2007,9,Apr-15,7 years,A523114,Dog,Golden Retriever/Brittany,Red,Convict Hill & S Mopac Service Road in Austin (TX),Normal,Stray,Spayed Female,1,2555,7,"(5.0, 7.5]",2015-04-26 11:01,4,2015,Apr-15,Sunday,11,1,0 days 02:52:00.000000000,0.119444444
9 years,A523179,2008-08-22 0:00,,Return to Owner,Neutered Male,3285,9,"(7.5, 10.0]",2017-08-24 13:41,8,2017,Aug-17,Thursday,13,1,2008,8,Aug-17,9 years,A523179,Dog,German Shepherd Mix,Black/Tan,Croson Lane in Manor (TX),Normal,Stray,Neutered Male,1,3285,9,"(7.5, 10.0]",2017-08-24 11:50,8,2017,Aug-17,Thursday,11,1,0 days 01:51:00.000000000,0.077083333
5 years,A523371,2008-08-01 0:00,,Return to Owner,Spayed Female,1825,5,"(2.5, 5.0]",2014-07-24 15:56,7,2014,Jul-14,Thursday,15,1,2008,8,Jul-14,5 years,A523371,Cat,Domestic Shorthair Mix,Brown Tabby,4471 Trail Crest Circle in Austin (TX),Normal,Owner Surrender,Spayed Female,1,1825,5,"(2.5, 5.0]",2014-07-20 13:21,7,2014,Jul-14,Sunday,13,1,4 days 02:35:00.000000000,4.107638889
6 years,A523396,2008-07-26 0:00,Aggressive,Euthanasia,Spayed Female,2190,6,"(5.0, 7.5]",2014-11-04 17:25,11,2014,Nov-14,Tuesday,17,1,2008,7,Nov-14,6 years,A523396,Dog,Labrador Retriever/Boxer,Brown/White,Manor (TX),Normal,Euthanasia Request,Spayed Female,1,2190,6,"(5.0, 7.5]",2014-11-03 12:23,11,2014,Nov-14,Monday,12,1,1 days 05:02:00.000000000,1.209722222
12 years,A523532,2002-12-30 0:00,,Return to Owner,Intact Female,4380,12,"(10.0, 12.5]",2014-12-30 15:01,12,2014,Dec-14,Tuesday,15,1,2002,12,Dec-14,12 years,A523532,Dog,Boxer,Brown/White,4434 Frontier in Austin (TX),Normal,Stray,Intact Female,1,4380,12,"(10.0, 12.5]",2014-12-30 7:04,12,2014,Dec-14,Tuesday,7,1,0 days 07:57:00.000000000,0.33125
14 years,A523533,2000-12-30 0:00,,Return to Owner,Spayed Female,5110,14,"(12.5, 15.0]",2014-12-30 15:01,12,2014,Dec-14,Tuesday,15,1,2000,12,Dec-14,14 years,A523533,Dog,Boxer Mix,Brown,4434 Frontier in Austin (TX),Normal,Stray,Spayed Female,1,5110,14,"(12.5, 15.0]",2014-12-30 7:04,12,2014,Dec-14,Tuesday,7,1,0 days 07:57:00.000000000,0.33125
5 years,A523719,2008-06-08 0:00,,Return to Owner,Neutered Male,1825,5,"(2.5, 5.0]",2014-03-20 13:09,3,2014,Mar-14,Thursday,13,1,2008,6,Mar-14,5 years,A523719,Dog,Pointer/Labrador Retriever,Chocolate,Millwright Pkwy. in Austin (TX),Normal,Stray,Neutered Male,1,1825,5,"(2.5, 5.0]",2014-03-19 11:56,3,2014,Mar-14,Wednesday,11,1,1 days 01:13:00.000000000,1.050694444
9 years,A524092,2008-05-05 0:00,,Adoption,Spayed Female,3285,9,"(7.5, 10.0]",2017-12-09 17:48,12,2017,Dec-17,Saturday,17,1,2008,5,Dec-17,9 years,A524092,Dog,Pit Bull,Chocolate/White,Del Valle (TX),Normal,Owner Surrender,Spayed Female,1,3285,9,"(7.5, 10.0]",2017-12-07 11:52,12,2017,Dec-17,Thursday,11,1,2 days 05:56:00.000000000,2.247222222
8 years,A524092,2008-05-05 0:00,,Return to Owner,Spayed Female,2920,8,"(7.5, 10.0]",2017-02-05 12:22,2,2017,Feb-17,Sunday,12,2,2008,5,Feb-17,8 years,A524092,Dog,Pit Bull,Chocolate/White,Del Valle (TX),Normal,Stray,Spayed Female,1,2920,8,"(7.5, 10.0]",2017-02-04 11:08,2,2017,Feb-17,Saturday,11,2,1 days 01:14:00.000000000,1.051388889
8 years,A524092,2008-05-05 0:00,,Return to Owner,Spayed Female,2920,8,"(7.5, 10.0]",2017-01-19 11:20,1,2017,Jan-17,Thursday,11,3,2008,5,Jan-17,8 years,A524092,Dog,Pit Bull,Chocolate/White,9601 Carson Creek Blvd in Austin (TX),Normal,Stray,Spayed Female,1,2920,8,"(7.5, 10.0]",2017-01-18 17:22,1,2017,Jan-17,Wednesday,17,3,0 days 17:58:00.000000000,0.748611111
8 years,A524092,2008-05-05 0:00,,Return to Owner,Spayed Female,2920,8,"(7.5, 10.0]",2016-12-29 12:00,12,2016,Dec-16,Thursday,12,4,2008,5,Dec-16,8 years,A524092,Dog,Pit Bull,Chocolate/White,9510 Carson Creek in Austin (TX),Normal,Stray,Spayed Female,1,2920,8,"(7.5, 10.0]",2016-12-25 20:59,12,2016,Dec-16,Sunday,20,4,3 days 15:01:00.000000000,3.625694444
8 years,A524150,2007-10-05 0:00,,Return to Owner,Spayed Female,2920,8,"(7.5, 10.0]",2016-01-13 11:55,1,2016,Jan-16,Wednesday,11,1,2007,10,Jan-16,8 years,A524150,Dog,Beagle Mix,Tricolor,Rockland Dr in Austin (TX),Normal,Stray,Spayed Female,1,2920,8,"(7.5, 10.0]",2016-01-12 17:55,1,2016,Jan-16,Tuesday,17,1,0 days 18:00:00.000000000,0.75
8 years,A524313,2008-04-15 0:00,Foster,Adoption,Spayed Female,2920,8,"(7.5, 10.0]",2016-08-27 11:36,8,2016,Aug-16,Saturday,11,1,2008,4,Aug-16,8 years,A524313,Dog,Australian Cattle Dog Mix,White/Red Merle,5400 Tx-71 in Travis (TX),Normal,Stray,Spayed Female,1,2920,8,"(7.5, 10.0]",2016-07-05 11:51,7,2016,Jul-16,Tuesday,11,1,52 days 23:45:00.000000000,52.98958333
8 years,A524634,2006-10-12 0:00,Foster,Adoption,Spayed Female,2920,8,"(7.5, 10.0]",2015-06-24 8:26,6,2015,Jun-15,Wednesday,8,1,2006,10,Jun-15,8 years,A524634,Dog,Pit Bull,Blue/White,W Rundberg Ln & Georgian Dr in Austin (TX),Normal,Stray,Intact Female,1,2920,8,"(7.5, 10.0]",2015-01-02 18:54,1,2015,Jan-15,Friday,18,1,172 days 13:32:00.000000000,172.5638889
7 years,A524680,2006-10-16 0:00,,Return to Owner,Spayed Female,2555,7,"(5.0, 7.5]",2013-11-30 14:48,11,2013,Nov-13,Saturday,14,1,2006,10,Nov-13,7 years,A524680,Dog,Australian Shepherd/English Setter,White/Tan,9300 Block West Hwy 71 in Austin (TX),Normal,Stray,Spayed Female,1,2555,7,"(5.0, 7.5]",2013-11-29 11:32,11,2013,Nov-13,Friday,11,1,1 days 03:16:00.000000000,1.136111111
12 years,A524954,2005-04-21 0:00,,Return to Owner,Spayed Female,4380,12,"(10.0, 12.5]",2018-01-21 12:35,1,2018,Jan-18,Sunday,12,1,2005,4,Jan-18,12 years,A524954,Dog,Labrador Retriever,Yellow,Slaughter Lane in Austin (TX),Normal,Stray,Spayed Female,1,4380,12,"(10.0, 12.5]",2018-01-20 18:10,1,2018,Jan-18,Saturday,18,1,0 days 18:25:00.000000000,0.767361111
7 years,A525136,2007-10-17 0:00,Partner,Transfer,Spayed Female,2555,7,"(5.0, 7.5]",2015-03-20 11:01,3,2015,Mar-15,Friday,11,1,2007,10,Mar-15,7 years,A525136,Cat,American Shorthair Mix,Calico,Austin (TX),Normal,Owner Surrender,Spayed Female,1,2555,7,"(5.0, 7.5]",2015-03-04 16:06,3,2015,Mar-15,Wednesday,16,1,15 days 18:55:00.000000000,15.78819444
10 years,A525511,2007-10-20 0:00,,Return to Owner,Neutered Male,3650,10,"(7.5, 10.0]",2018-01-20 13:07,1,2018,Jan-18,Saturday,13,1,2007,10,Jan-18,10 years,A525511,Dog,Golden Retriever,Gold,1010 Linden Street in Austin (TX),Normal,Stray,Neutered Male,1,3650,10,"(7.5, 10.0]",2018-01-20 11:42,1,2018,Jan-18,Saturday,11,1,0 days 01:25:00.000000000,0.059027778
7 years,A525592,2007-10-21 0:00,,Adoption,Spayed Female,2555,7,"(5.0, 7.5]",2015-06-30 12:50,6,2015,Jun-15,Tuesday,12,1,2007,10,Jun-15,7 years,A525592,Cat,Domestic Shorthair Mix,Brown Tabby,1088 Park Plaza in Austin (TX),Normal,Stray,Spayed Female,1,2555,7,"(5.0, 7.5]",2015-04-24 12:23,4,2015,Apr-15,Friday,12,1,67 days 00:27:00.000000000,67.01875
6 years,A525768,2007-12-29 0:00,,Adoption,Spayed Female,2190,6,"(5.0, 7.5]",2014-02-22 17:46,2,2014,Feb-14,Saturday,17,1,2007,12,Feb-14,6 years,A525768,Dog,Labrador Retriever Mix,Brown/White,Austin (TX),Normal,Owner Surrender,Spayed Female,1,2190,6,"(5.0, 7.5]",2014-02-15 12:51,2,2014,Feb-14,Saturday,12,1,7 days 04:55:00.000000000,7.204861111
6 years,A525938,2007-10-26 0:00,Aggressive,Euthanasia,Neutered Male,2190,6,"(5.0, 7.5]",2014-05-08 18:20,5,2014,May-14,Thursday,18,1,2007,10,May-14,6 years,A525938,Dog,Chinese Sharpei Mix,Brown,Banaster & Southridge Dr in Austin (TX),Normal,Stray,Neutered Male,1,2190,6,"(5.0, 7.5]",2014-04-27 16:55,4,2014,Apr-14,Sunday,16,1,11 days 01:25:00.000000000,11.05902778
8 years,A526144,2006-10-26 0:00,,Return to Owner,Neutered Male,2920,8,"(7.5, 10.0]",2015-07-02 11:46,7,2015,Jul-15,Thursday,11,1,2006,10,Jul-15,8 years,A526144,Dog,St. Bernard Rough Coat,Tricolor,1156 W Cesar Chavez in Austin (TX),Normal,Stray,Neutered Male,1,2920,8,"(7.5, 10.0]",2015-07-01 12:59,7,2015,Jul-15,Wednesday,12,1,0 days 22:47:00.000000000,0.949305556
6 years,A526237,2007-10-27 0:00,,Return to Owner,Spayed Female,2190,6,"(5.0, 7.5]",2013-11-16 15:42,11,2013,Nov-13,Saturday,15,1,2007,10,Nov-13,6 years,A526237,Dog,Australian Kelpie/Pit Bull,Brown/White,4434 Frontier Trl in Austin (TX),Normal,Stray,Spayed Female,1,2190,6,"(5.0, 7.5]",2013-11-16 8:42,11,2013,Nov-13,Saturday,8,1,0 days 07:00:00.000000000,0.291666667
8 years,A526257,2007-04-27 0:00,,Return to Owner,Neutered Male,2920,8,"(7.5, 10.0]",2015-10-31 11:13,10,2015,Oct-15,Saturday,11,1,2007,4,Oct-15,8 years,A526257,Dog,Yorkshire Terrier Mix,Tan/Black,7618 Lunar in Austin (TX),Normal,Stray,Neutered Male,1,2920,8,"(7.5, 10.0]",2015-10-30 11:42,10,2015,Oct-15,Friday,11,1,0 days 23:31:00.000000000,0.979861111
10 years,A526328,2006-10-28 0:00,,Return to Owner,Intact Male,3650,10,"(7.5, 10.0]",2017-03-16 18:28,3,2017,Mar-17,Thursday,18,1,2006,10,Mar-17,10 years,A526328,Dog,Vizsla Mix,Blue,9625 Covy Ridge Ln in Austin (TX),Normal,Public Assist,Intact Male,1,3650,10,"(7.5, 10.0]",2017-03-13 12:29,3,2017,Mar-17,Monday,12,1,3 days 05:59:00.000000000,3.249305556
7 years,A526641,2007-10-29 0:00,Partner,Transfer,Neutered Male,2555,7,"(5.0, 7.5]",2015-03-22 15:23,3,2015,Mar-15,Sunday,15,1,2007,10,Mar-15,7 years,A526641,Dog,Boxer,Brown/White,Ponca St And Montopolis in Austin (TX),Normal,Stray,Neutered Male,1,2555,7,"(5.0, 7.5]",2015-03-19 19:07,3,2015,Mar-15,Thursday,19,1,2 days 20:16:00.000000000,2.844444444
6 years,A526647,2008-05-29 0:00,,Return to Owner,Neutered Male,2190,6,"(5.0, 7.5]",2015-04-02 15:20,4,2015,Apr-15,Thursday,15,1,2008,5,Apr-15,6 years,A526647,Dog,Maltese Mix,White/White,Galesburg/Harpersferry in Austin (TX),Injured,Stray,Neutered Male,1,2190,6,"(5.0, 7.5]",2015-03-27 7:44,3,2015,Mar-15,Friday,7,1,6 days 07:36:00.000000000,6.316666667
