age_upon_intake,animal_id,animal_type,breed,color,datetime,datetime2,found_location,intake_condition,intake_type,name,sex_upon_intake
3 months,A704220,Dog,Chihuahua Shorthair Mix,Brown/White,2015-09-26T23:33:00.000,2015-09-26T23:33:00.000,1016 W Stassney Ln in Austin (TX),Normal,Stray,*Hayworth,Neutered Male
5 years,A688734,Dog,German Shepherd Mix,Brown/Black,2014-09-23T09:50:00.000,2014-09-23T09:50:00.000,5725 Trelawney in Austin (TX),Normal,Public Assist,Tennessee,Intact Male
3 years,A700210,Dog,Australian Terrier Mix,Brown,2015-04-09T14:28:00.000,2015-04-09T14:28:00.000,E Anderson Ln And Cameron Rd in Austin (TX),Normal,Stray,,Intact Male
4 years,A701401,Dog,Greyhound,Tan/Black,2015-04-28T21:24:00.000,2015-04-28T21:24:00.000,Thome Valley & Tabby Cv in Austin (TX),Sick,Public Assist,Jill,Intact Female
15 years,A718235,Dog,American Eskimo,White,2015-12-26T09:11:00.000,2015-12-26T09:11:00.000,4434 Frontier Trail in Austin (TX),Normal,Stray,Graziella,Spayed Female
2 years,A743329,Dog,Border Collie/Great Pyrenees,Tan/White,2017-02-18T12:05:00.000,2017-02-18T12:05:00.000,Austin (TX),Normal,Owner Surrender,Sobeck,Neutered Male
2 years,A731452,Dog,Labrador Retriever Mix,Tan,2016-07-22T13:03:00.000,2016-07-22T13:03:00.000,Schmidt Ln And Anderson Rd in Manor (TX),Normal,Stray,*Oscar,Intact Male
14 years,A682099,Dog,Maltese Mix,White,2014-06-24T12:20:00.000,2014-06-24T12:20:00.000,4310 Ramsey Ave in Austin (TX),Normal,Stray,Rice,Intact Female
2 months,A745239,Dog,Bruss Griffon Mix,Tan/Black,2017-03-15T10:55:00.000,2017-03-15T10:55:00.000,401 Tawny Dr in Austin (TX),Normal,Owner Surrender,*Rowena,Intact Female
1 year,A752640,Other,Rex,Black/White,2017-06-25T13:19:00.000,2017-06-25T13:19:00.000,10000 Research Blvd in Austin (TX),Normal,Stray,*Otter,Intact Male
1 week,A733353,Cat,Domestic Shorthair Mix,Brown Tabby,2016-08-20T15:43:00.000,2016-08-20T15:43:00.000,1109 S Pleasant Valley Rd in Austin (TX),Normal,Stray,*Pepper,Intact Female
5 years,A719699,Cat,Domestic Shorthair Mix,Blue Tabby,2016-01-25T16:35:00.000,2016-01-25T16:35:00.000,6263 Mcneil Dr in Austin (TX),Sick,Stray,*Cora,Spayed Female
2 years,A748514,Dog,Chihuahua Shorthair Mix,Tan,2017-05-03T15:22:00.000,2017-05-03T15:22:00.000,38Th St And Guadalupe St in Austin (TX),Normal,Stray,Kiwi,Intact Male
11 months,A755330,Dog,Chihuahua Shorthair Mix,Tan,2017-08-01T17:40:00.000,2017-08-01T17:40:00.000,9200 North Plaza in Austin (TX),Normal,Stray,,Intact Female
3 years,A685438,Dog,Dachshund Mix,Black/Tan,2014-08-07T13:49:00.000,2014-08-07T13:49:00.000,2007 Conestoga in Austin (TX),Normal,Stray,*Jasmine,Intact Female
8 years,A746538,Dog,German Shepherd Mix,Sable,2017-04-04T14:12:00.000,2017-04-04T14:12:00.000,2204 Fair Oaks Dr in Austin (TX),Normal,Stray,*Riley,Intact Male
3 weeks,A750967,Cat,Domestic Shorthair Mix,Brown Tabby,2017-06-02T15:50:00.000,2017-06-02T15:50:00.000,3227 E 5Th St in Austin (TX),Normal,Stray,*Lewis,Intact Male
0 years,A757588,Cat,Domestic Shorthair Mix,Brown Tabby/White,2017-09-02T18:19:00.000,2017-09-02T18:19:00.000,5208 Diwa Circle in Del Valle (TX),Normal,Stray,,Intact Male
2 years,A760805,Dog,Siberian Husky Mix,Gray/White,2017-10-24T12:38:00.000,2017-10-24T12:38:00.000,8608 Evelyn Road in Travis (TX),Normal,Stray,*Willow,Intact Female
5 years,A764742,Dog,Chihuahua Shorthair Mix,White/Tan,2018-01-05T13:30:00.000,2018-01-05T13:30:00.000,Manor (TX),Normal,Owner Surrender,Clara,Intact Female
2 years,A716799,Dog,German Shepherd Mix,Black/Brown,2015-11-25T14:34:00.000,2015-11-25T14:34:00.000,Austin (TX),Normal,Owner Surrender,Mary,Intact Female
5 years,A669277,Dog,Golden Retriever Mix,Red,2013-12-17T18:22:00.000,2013-12-17T18:22:00.000,Hatley And Inwood Circle in Rollingwood (TX),Normal,Stray,Emma,Spayed Female
2 months,A691345,Dog,Australian Cattle Dog Mix,Brown/White,2014-11-09T11:02:00.000,2014-11-09T11:02:00.000,Austin (TX),Normal,Owner Surrender,Jelly Bean,Spayed Female
2 years,A686092,Cat,Domestic Shorthair,Orange Tabby/White,2016-05-23T12:37:00.000,2016-05-23T12:37:00.000,Austin (TX),Normal,Owner Surrender,Oliver,Neutered Male
1 week,A749384,Cat,Domestic Shorthair Mix,White/Black,2017-05-14T13:04:00.000,2017-05-14T13:04:00.000,12186 Runnining Bird Lane in Austin (TX),Normal,Stray,,Intact Female
1 month,A733153,Cat,Domestic Longhair Mix,Black,2016-08-18T12:24:00.000,2016-08-18T12:24:00.000,2300 W Northloop Blvd in Austin (TX),Normal,Stray,Scarlett,Intact Female
4 months,A766019,Dog,Labrador Retriever Mix,Black/White,2018-02-06T12:26:00.000,2018-02-06T12:26:00.000,Pflugerville (TX),Normal,Owner Surrender,,Spayed Female
1 year,A707301,Dog,Pit Bull Mix,Brown,2015-07-11T11:42:00.000,2015-07-11T11:42:00.000,1906 Valley Hill Cir #A in Austin (TX),Injured,Stray,*Barnaby,Intact Male
2 years,A713480,Dog,Chihuahua Shorthair Mix,Tan,2015-10-07T14:02:00.000,2015-10-07T14:02:00.000,20706 Postoak Parkway in Manor (TX),Normal,Stray,Oscar,Neutered Male
1 month,A679704,Dog,Chihuahua Shorthair Mix,Brown,2014-05-25T10:19:00.000,2014-05-25T10:19:00.000,12034 Research Blvd in Austin (TX),Sick,Stray,,Intact Male
4 months,A667826,Cat,Domestic Shorthair Mix,Brown Tabby,2013-11-23T13:55:00.000,2013-11-23T13:55:00.000,5403 Darlington Ln in Austin (TX),Normal,Stray,,Intact Male
1 month,A753047,Cat,Domestic Shorthair Mix,Black/White,2017-06-30T18:37:00.000,2017-06-30T18:37:00.000,Austin (TX),Normal,Owner Surrender,*Mardi,Intact Female
2 years,A708780,Dog,Border Collie Mix,Tricolor,2015-07-31T14:14:00.000,2015-07-31T14:14:00.000,Hwy 183 And Manor in Austin (TX),Normal,Stray,*Pogo,Intact Female
8 months,A766674,Dog,Chihuahua Shorthair Mix,Brown,2018-02-14T11:26:00.000,2018-02-14T11:26:00.000,Austin (TX),Normal,Owner Surrender,Bebe,Intact Male
1 year,A669946,Dog,Labrador Retriever Mix,Black,2013-12-30T16:57:00.000,2013-12-30T16:57:00.000,1515 Wickersham Ln in Austin (TX),Normal,Stray,Max,Intact Male
2 years,A713426,Dog,Chihuahua Shorthair Mix,Brown Brindle,2015-10-06T16:12:00.000,2015-10-06T16:12:00.000,Austin (TX),Normal,Owner Surrender,Daisy,Spayed Female
1 month,A703731,Cat,Domestic Shorthair Mix,Black Smoke,2015-05-28T12:16:00.000,2015-05-28T12:16:00.000,1408 Summit St in Austin (TX),Normal,Stray,*Jam,Intact Male
7 months,A702496,Dog,Basset Hound Mix,Black/White,2015-05-14T15:01:00.000,2015-05-14T15:01:00.000,Santa Rosa And Robert Martinez in Austin (TX),Normal,Stray,Murphy,Intact Male
2 years,A739461,Cat,Domestic Longhair Mix,Tortie,2016-12-03T13:06:00.000,2016-12-03T13:06:00.000,1704 E 5Th St in Austin (TX),Normal,Stray,,Intact Female
1 year,A699513,Dog,Chihuahua Shorthair Mix,Chocolate/Tan,2015-03-28T16:21:00.000,2015-03-28T16:21:00.000,11441 N Ih 35 in Austin (TX),Normal,Stray,,Intact Female
1 month,A762025,Dog,Pit Bull Mix,Black/White,2017-11-13T16:25:00.000,2017-11-13T16:25:00.000,2900 N Farm To Market Road 973 in Austin (TX),Normal,Stray,,Intact Female
1 month,A682166,Dog,Labrador Retriever Mix,Black/Tricolor,2014-06-25T11:01:00.000,2014-06-25T11:01:00.000,Austin (TX),Sick,Owner Surrender,,Intact Male
9 months,A734148,Dog,Labrador Retriever Mix,Tan/White,2016-09-02T10:02:00.000,2016-09-02T10:02:00.000,Austin (TX),Normal,Owner Surrender,Shalom,Neutered Male
6 months,A713061,Dog,Labrador Retriever Mix,Black/White,2015-10-02T11:36:00.000,2015-10-02T11:36:00.000,7712 Bellehaven in Austin (TX),Normal,Stray,*Herlinda,Intact Female
1 year,A677085,Other,Rabbit Sh Mix,Black,2014-04-19T12:47:00.000,2014-04-19T12:47:00.000,11629 Timber Heights in Austin (TX),Normal,Stray,,Unknown
1 week,A686834,Cat,Domestic Shorthair Mix,Brown Tabby,2014-08-27T14:53:00.000,2014-08-27T14:53:00.000,3930 Bee Caves Rd. in Austin (TX),Sick,Stray,,Intact Male
1 year,A665923,Dog,German Shepherd/Labrador Retriever,Red,2013-10-24T17:57:00.000,2013-10-24T17:57:00.000,Austin (TX),Normal,Public Assist,Willow,Spayed Female
2 years,A732475,Dog,German Shepherd Mix,Black/Tan,2016-08-13T12:24:00.000,2016-08-13T12:24:00.000,12166 Metric Blvd in Austin (TX),Normal,Stray,Louie,Neutered Male
2 years,A612451,Dog,Cairn Terrier Mix,Tan,2013-10-26T13:56:00.000,2013-10-26T13:56:00.000,111 E St Johns Ave in Austin (TX),Normal,Stray,Waffles,Neutered Male
1 year,A752354,Dog,Nova Scotia Duck Tolling Retriever Mix,Brown,2017-06-21T12:57:00.000,2017-06-21T12:57:00.000,2506 Manor Road in Austin (TX),Normal,Stray,*Butters,Intact Male
6 years,A754224,Cat,Domestic Shorthair Mix,White,2017-07-17T14:36:00.000,2017-07-17T14:36:00.000,Austin (TX),Normal,Owner Surrender,Suchen,Spayed Female
1 year,A762994,Dog,Labrador Retriever Mix,Black,2017-12-01T10:55:00.000,2017-12-01T10:55:00.000,Austin (TX),Normal,Public Assist,Moose,Neutered Male
10 months,A760583,Dog,Chihuahua Shorthair Mix,Tan,2017-10-20T13:22:00.000,2017-10-20T13:22:00.000,Austin (TX),Injured,Owner Surrender,Layla,Intact Female
4 weeks,A685545,Other,Bat,Brown/Black,2014-08-09T00:17:00.000,2014-08-09T00:17:00.000,1620 E Riverside Dr in Austin (TX),Normal,Wildlife,,Unknown
2 years,A691292,Dog,American Staffordshire Terrier/Plott Hound,Brown Brindle/White,2014-11-02T13:30:00.000,2014-11-02T13:30:00.000,7806 Blue Goose Rd in Manor (TX),Normal,Stray,,Intact Male
1 month,A684538,Cat,Domestic Shorthair Mix,Black Smoke,2014-07-25T11:15:00.000,2014-07-25T11:15:00.000,East 6Th St in Austin (TX),Normal,Stray,Tui,Neutered Male
15 years,A753931,Dog,Pembroke Welsh Corgi Mix,Brown/White,2017-07-13T11:02:00.000,2017-07-13T11:02:00.000,Austin (TX),Normal,Owner Surrender,Penny,Spayed Female
9 months,A712280,Dog,West Highland/Cairn Terrier,White/Gray,2015-09-20T13:48:00.000,2015-09-20T13:48:00.000,8905 Wiley Way in Austin (TX),Normal,Stray,Chilito,Intact Male
2 months,A765830,Cat,Domestic Shorthair Mix,Tortie,2018-01-28T11:50:00.000,2018-01-28T11:50:00.000,2503 East Oltorf in Austin (TX),Normal,Stray,,Intact Female
1 year,A692327,Dog,Labrador Retriever Mix,Tan/White,2016-01-02T16:40:00.000,2016-01-02T16:40:00.000,Bluff Springs Rd And Nelms Dr in Austin (TX),Normal,Stray,Allie,Spayed Female
1 month,A711833,Dog,German Shepherd Mix,Red,2015-09-12T15:06:00.000,2015-09-12T15:06:00.000,8714 Fm 812 in Travis (TX),Normal,Stray,,Intact Female
2 weeks,A724501,Cat,Domestic Shorthair Mix,Orange Tabby/White,2016-04-18T15:59:00.000,2016-04-18T15:59:00.000,Mansfield Park Drive in Austin (TX),Normal,Stray,,Unknown
9 months,A713928,Cat,Domestic Shorthair Mix,Blue Tabby,2015-10-15T12:32:00.000,2015-10-15T12:32:00.000,Austin (TX),Normal,Owner Surrender,Lilly,Spayed Female
1 month,A713029,Cat,Domestic Shorthair Mix,Black,2015-10-01T17:49:00.000,2015-10-01T17:49:00.000,Austin (TX),Normal,Owner Surrender,*Wilma,Intact Female
1 month,A667424,Dog,German Shepherd Mix,Black/Tan,2013-11-17T17:50:00.000,2013-11-17T17:50:00.000,Creedmoor (TX),Normal,Owner Surrender,,Intact Male
7 months,A710971,Dog,Labrador Retriever Mix,Buff,2015-08-31T11:04:00.000,2015-08-31T11:04:00.000,Pflugerville (TX),Normal,Owner Surrender,Juliette,Intact Female
2 years,A703438,Dog,Pit Bull Mix,Fawn,2015-05-24T17:03:00.000,2015-05-24T17:03:00.000,14400 Harris Ridge Blvd in Pflugerville (TX),Normal,Stray,Torque,Neutered Male
6 years,A683260,Dog,Australian Cattle Dog Mix,Blue Merle,2014-07-09T12:58:00.000,2014-07-09T12:58:00.000,14811 Chicadee in Pflugerville (TX),Normal,Public Assist,X,Spayed Female
4 weeks,A736213,Cat,Domestic Medium Hair Mix,Black,2016-10-06T18:06:00.000,2016-10-06T18:06:00.000,8300 Viewridge in Austin (TX),Normal,Stray,*Ghost,Intact Male
2 years,A728136,Dog,Great Dane Mix,White/Black,2016-05-31T12:07:00.000,2016-05-31T12:07:00.000,Austin (TX),Normal,Owner Surrender,Atticus,Neutered Male
4 years,A692603,Dog,Pit Bull Mix,Fawn/White,2014-12-08T18:37:00.000,2014-12-08T18:37:00.000,1708 Shadowview Dr in Austin (TX),Normal,Public Assist,Crook,Neutered Male
4 weeks,A735963,Cat,Domestic Medium Hair Mix,Black/White,2016-10-02T11:01:00.000,2016-10-02T11:01:00.000,2815 Hwy 71 E in Travis (TX),Normal,Stray,*Norris,Intact Male
3 weeks,A691044,Cat,Domestic Shorthair Mix,Black,2014-10-29T13:40:00.000,2014-10-29T13:40:00.000,12069 Dessau Rd in Austin (TX),Normal,Stray,,Intact Male
4 years,A625910,Dog,Australian Cattle Dog Mix,White/Black,2016-04-16T15:39:00.000,2016-04-16T15:39:00.000,Austin (TX),Normal,Owner Surrender,Paisley,Spayed Female
4 years,A631106,Dog,Doberman Pinsch Mix,Black/Tan,2016-02-11T18:52:00.000,2016-02-11T18:52:00.000,Austin (TX),Normal,Owner Surrender,Lucy,Spayed Female
2 years,A724965,Bird,Pigeon Mix,Gray,2016-04-23T15:44:00.000,2016-04-23T15:44:00.000,811 E 11Th St #310 in Austin (TX),Injured,Wildlife,,Unknown
1 year,A731479,Cat,Domestic Shorthair Mix,Lynx Point/Tan,2016-07-23T02:47:00.000,2016-07-23T02:47:00.000,3300 Killingsworth Lane Lot 307 in Travis (TX),Injured,Stray,*Klein,Intact Male
8 years,A715288,Dog,Dachshund Wirehair Mix,Sable/White,2015-11-03T12:30:00.000,2015-11-03T12:30:00.000,4808 Scarsdale Ln in Austin (TX),Normal,Stray,,Intact Female
3 years,A731964,Dog,Pit Bull Mix,Tan,2016-07-30T11:09:00.000,2016-07-30T11:09:00.000,Manor (TX),Normal,Stray,Susette,Spayed Female
6 days,A731148,Cat,Domestic Shorthair Mix,Torbie,2016-07-17T10:49:00.000,2016-07-17T10:49:00.000,9517 Dalewood Dr in Austin (TX),Nursing,Stray,*Bijou,Intact Female
1 month,A739350,Cat,Domestic Shorthair Mix,Blue Tabby,2016-12-01T11:56:00.000,2016-12-01T11:56:00.000,8600 Brodie Ln in Austin (TX),Normal,Stray,,Intact Female
1 year,A766204,Dog,Great Pyrenees Mix,White,2018-02-04T14:14:00.000,2018-02-04T14:14:00.000,East 45Th Street And Depew Avenue in Austin (TX),Normal,Stray,Molly,Spayed Female
1 year,A750190,Dog,Pit Bull Mix,Black,2017-08-29T15:41:00.000,2017-08-29T15:41:00.000,Austin (TX),Normal,Owner Surrender,*Nacho,Neutered Male
2 years,A731490,Dog,Blue Lacy Mix,Fawn/White,2016-07-23T10:17:00.000,2016-07-23T10:17:00.000,1616 W 8Th St in Austin (TX),Normal,Stray,Zeus,Intact Male
8 months,A704427,Cat,Domestic Shorthair Mix,Orange Tabby,2015-12-17T12:55:00.000,2015-12-17T12:55:00.000,6118 Fairway St in Austin (TX),Normal,Stray,*Oscar,Neutered Male
1 year,A736171,Other,Bat Mix,Brown,2016-10-05T23:03:00.000,2016-10-05T23:03:00.000,2433 Rutland in Austin (TX),Normal,Wildlife,,Unknown
1 year,A734149,Cat,Domestic Medium Hair Mix,Black,2016-09-02T10:40:00.000,2016-09-02T10:40:00.000,Austin (TX),Normal,Owner Surrender,*Violet,Intact Female
3 weeks,A682570,Cat,Domestic Shorthair Mix,Black,2014-06-29T17:31:00.000,2014-06-29T17:31:00.000,54Th/Evans in Austin (TX),Normal,Stray,*Twila,Intact Female
4 weeks,A704562,Cat,Domestic Medium Hair Mix,Black Smoke,2015-06-06T11:52:00.000,2015-06-06T11:52:00.000,2800 Bartons Bluff Ln in Austin (TX),Normal,Stray,*Lucy,Intact Female
10 years,A718046,Dog,Chihuahua Longhair Mix,Cream,2016-03-26T14:22:00.000,2016-03-26T14:22:00.000,12601 Bee Caves Pkwy #203 in Travis (TX),Normal,Public Assist,Bailey,Neutered Male
2 months,A716050,Cat,Domestic Medium Hair Mix,Calico,2015-11-13T13:56:00.000,2015-11-13T13:56:00.000,201 Chicon in Austin (TX),Normal,Stray,Ada,Intact Female
9 months,A737859,Dog,Cocker Spaniel/Miniature Poodle,White/Cream,2016-11-05T15:53:00.000,2016-11-05T15:53:00.000,Lost Creek Blvd & Sandia Loop in Travis (TX),Normal,Stray,Plato,Intact Male
1 year,A722418,Dog,Plott Hound/Boxer,Brown Brindle,2016-03-16T12:42:00.000,2016-03-16T12:42:00.000,Austin (TX),Normal,Owner Surrender,Muñeca,Spayed Female
3 years,A655183,Dog,English Bulldog Mix,White,2014-01-26T13:03:00.000,2014-01-26T13:03:00.000,Austin (TX),Normal,Owner Surrender,Jack,Neutered Male
2 years,A700620,Dog,Catahoula Mix,Black/White,2015-04-16T17:29:00.000,2015-04-16T17:29:00.000,Teri Rd And Freidrich Ln in Austin (TX),Nursing,Stray,Han,Intact Male
2 years,A660098,Dog,Pit Bull Mix,Brown Merle/White,2014-07-04T18:48:00.000,2014-07-04T18:48:00.000,Austin (TX),Normal,Owner Surrender,Delilah,Spayed Female
2 years,A692201,Dog,Shih Tzu Mix,White/Brown,2014-11-16T13:35:00.000,2014-11-16T13:35:00.000,3209 Barksdale Dr in Austin (TX),Normal,Stray,,Neutered Male
1 year,A687224,Dog,German Shepherd,Brown/Black,2014-09-02T12:41:00.000,2014-09-02T12:41:00.000,6001 Shadow Valley Cv in Austin (TX),Normal,Stray,Beau,Intact Male
8 months,A746542,Dog,Australian Cattle Dog Mix,Brown/White,2017-06-09T16:48:00.000,2017-06-09T16:48:00.000,Austin (TX),Normal,Owner Surrender,Blue,Neutered Male
2 years,A705722,Cat,Domestic Shorthair Mix,Brown Tabby/White,2015-06-20T14:39:00.000,2015-06-20T14:39:00.000,Austin (TX),Normal,Stray,,Intact Female
5 years,A739120,Dog,Doberman Pinsch Mix,Black/Tan,2016-11-28T12:21:00.000,2016-11-28T12:21:00.000,Guadalupe St And W 34Th St in Austin (TX),Normal,Stray,Shai,Spayed Female
4 weeks,A758025,Cat,Domestic Shorthair Mix,Blue/White,2017-09-10T12:32:00.000,2017-09-10T12:32:00.000,10713 Watchful Fox Drive in Austin (TX),Normal,Stray,,Intact Female
5 years,A665334,Dog,Pit Bull Mix,Blue/White,2017-07-06T12:12:00.000,2017-07-06T12:12:00.000,6315 Ken Caryl Dr in Austin (TX),Normal,Public Assist,Mcruber,Neutered Male
3 days,A703962,Cat,Domestic Shorthair Mix,Brown Tabby,2015-05-30T18:41:00.000,2015-05-30T18:41:00.000,Austin (TX),Nursing,Stray,,Unknown
11 months,A702882,Dog,Basenji Mix,Tan/White,2015-05-18T17:53:00.000,2015-05-18T17:53:00.000,409 East William Cannon in Austin (TX),Normal,Stray,Shadow,Intact Female
3 weeks,A689856,Cat,Domestic Shorthair Mix,Blue,2014-10-10T15:24:00.000,2014-10-10T15:24:00.000,8312 Beaver Brook Ln in Austin (TX),Normal,Stray,,Intact Male
3 years,A676261,Dog,Chihuahua Longhair Mix,White/Brown,2014-04-07T11:32:00.000,2014-04-07T11:32:00.000,Austin (TX),Normal,Owner Surrender,Chato,Neutered Male
2 years,A684268,Dog,Great Dane/Mastiff,Black/White,2014-12-23T21:17:00.000,2014-12-23T21:17:00.000,4600 Kind Way in Travis (TX),Normal,Stray,Groot,Intact Male
8 months,A698276,Dog,Chihuahua Shorthair/Smooth Fox Terrier,White/Brown,2015-03-08T16:00:00.000,2015-03-08T16:00:00.000,4408 Glomar in Austin (TX),Normal,Stray,Chuy,Intact Male
1 month,A676526,Dog,Australian Cattle Dog Mix,Blue Merle/Red,2014-04-11T11:35:00.000,2014-04-11T11:35:00.000,Austin (TX),Sick,Owner Surrender,Max,Intact Male
1 month,A694212,Cat,Domestic Shorthair Mix,Blue,2014-12-22T15:22:00.000,2014-12-22T15:22:00.000,21101 Hog Eye Rd in Travis (TX),Injured,Stray,Pepper,Intact Female
2 months,A680879,Dog,Black Mouth Cur Mix,Brown/Black,2014-06-09T13:16:00.000,2014-06-09T13:16:00.000,Ih 35 And Slaughter Ln in Austin (TX),Normal,Stray,Marley,Intact Female
3 months,A706061,Cat,Domestic Shorthair Mix,Tortie,2015-06-24T11:57:00.000,2015-06-24T11:57:00.000,24806 Long Hollow Trl in Leander (TX),Normal,Owner Surrender,*Babs,Intact Female
5 years,A677078,Dog,German Shepherd Mix,Tan/Black,2014-04-19T12:02:00.000,2014-04-19T12:02:00.000,Fm 620 And Boulder Ln in Austin (TX),Normal,Stray,*Greta,Intact Female
2 years,A712261,Dog,Miniature Poodle Mix,White,2015-09-19T17:41:00.000,2015-09-19T17:41:00.000,Lba Dr in Travis (TX),Normal,Stray,Skooter,Intact Male
3 weeks,A681327,Cat,Domestic Longhair Mix,Brown Tabby,2014-06-14T18:23:00.000,2014-06-14T18:23:00.000,10005 Shively Ln in Austin (TX),Normal,Stray,,Intact Male
1 month,A716526,Cat,Domestic Shorthair Mix,Black,2015-11-20T13:57:00.000,2015-11-20T13:57:00.000,Austin (TX),Normal,Owner Surrender,Elvira,Intact Female
7 months,A758258,Dog,Labrador Retriever Mix,Brown/White,2017-09-13T12:35:00.000,2017-09-13T12:35:00.000,Manor (TX),Normal,Owner Surrender,Yuri,Intact Female
1 week,A700566,Cat,Domestic Shorthair Mix,Blue Tabby,2015-04-16T10:42:00.000,2015-04-16T10:42:00.000,629 Dalton Ln in Austin (TX),Normal,Stray,*Lyric,Intact Female
3 years,A723779,Cat,Domestic Longhair Mix,Black/White,2016-04-06T15:17:00.000,2016-04-06T15:17:00.000,Outside Jurisdiction,Normal,Owner Surrender,*Sylvester,Intact Male
10 months,A722268,Dog,Havanese Mix,White/Gray,2016-03-13T18:38:00.000,2016-03-13T18:38:00.000,Winter Haven Rd And Derby Downs Rd in Austin (TX),Normal,Stray,*Clover,Spayed Female
4 weeks,A702839,Cat,Domestic Shorthair Mix,Tortie,2015-05-18T13:11:00.000,2015-05-18T13:11:00.000,3721 Rr North 620 in Austin (TX),Sick,Stray,*Tort,Intact Female
2 years,A695916,Dog,Boxer Mix,Brown/White,2015-01-25T14:35:00.000,2015-01-25T14:35:00.000,4010 Hwy 1327  Fire Station in Austin (TX),Normal,Stray,Juno,Intact Female
6 years,A765388,Cat,Domestic Shorthair Mix,Cream Tabby/Orange Tabby,2018-01-19T07:03:00.000,2018-01-19T07:03:00.000,2308 Little Tree Bend in Austin (TX),Sick,Stray,Trapper,Neutered Male
1 year,A672012,Dog,Pug/Chihuahua Shorthair,Tan/White,2014-02-02T14:33:00.000,2014-02-02T14:33:00.000,Ferguson Dr in Austin (TX),Normal,Stray,*Marty,Intact Male
15 years,A676256,Cat,Domestic Shorthair Mix,Torbie,2014-04-07T11:08:00.000,2014-04-07T11:08:00.000,2615 Brindle Path in Austin (TX),Normal,Stray,Maxey,Spayed Female
15 years,A763174,Cat,American Shorthair Mix,Calico/White,2017-12-04T14:09:00.000,2017-12-04T14:09:00.000,Austin (TX),Normal,Owner Surrender,Kitty,Spayed Female
3 years,A757479,Dog,Harrier Mix,Tan/White,2017-09-03T11:43:00.000,2017-09-03T11:43:00.000,6300 Bluff Springs in Austin (TX),Normal,Stray,Cowboy,Intact Male
2 months,A703257,Dog,Catahoula Mix,Blue Merle/White,2015-05-22T12:59:00.000,2015-05-22T12:59:00.000,9323 Manchaca Rd in Austin (TX),Injured,Stray,Jack,Intact Male
4 months,A726442,Dog,Queensland Heeler/Dachshund,Tan/White,2016-05-10T18:55:00.000,2016-05-10T18:55:00.000,2503 E Oltorf St in Austin (TX),Normal,Stray,,Intact Male
3 years,A718692,Dog,Chihuahua Shorthair Mix,Black,2016-01-05T12:23:00.000,2016-01-05T12:23:00.000,1803 Broadmoor Dr in Austin (TX),Normal,Stray,Charlotte,Spayed Female
4 weeks,A733992,Other,Guinea Pig Mix,Tricolor,2016-08-30T14:29:00.000,2016-08-30T14:29:00.000,Austin (TX),Normal,Stray,Carrots,Unknown
2 years,A685675,Dog,Rottweiler Mix,Black/Tan,2014-08-11T10:47:00.000,2014-08-11T10:47:00.000,6600 Elm Creek Dr in Austin (TX),Normal,Stray,Jessie,Intact Male
2 months,A688163,Dog,Australian Shepherd Mix,Brown/White,2014-09-15T13:58:00.000,2014-09-15T13:58:00.000,Fm 812/71 in Travis (TX),Normal,Stray,,Intact Female
2 weeks,A727384,Cat,Domestic Shorthair Mix,Black,2016-05-21T15:32:00.000,2016-05-21T15:32:00.000,Austin (TX),Normal,Stray,,Unknown
1 year,A679737,Cat,Domestic Medium Hair Mix,Black/White,2014-05-25T14:06:00.000,2014-05-25T14:06:00.000,12507 Esplanade in Austin (TX),Normal,Stray,,Unknown
3 weeks,A689771,Cat,Domestic Shorthair Mix,Brown Tabby,2014-10-09T13:06:00.000,2014-10-09T13:06:00.000,St Elmo in Austin (TX),Normal,Stray,,Intact Female
3 years,A693454,Dog,Labrador Retriever/Boxer,Brown/White,2014-12-08T12:43:00.000,2014-12-08T12:43:00.000,Austin (TX),Normal,Owner Surrender,Daisy,Spayed Female
4 months,A710745,Dog,Rat Terrier Mix,Black/White,2015-09-06T13:44:00.000,2015-09-06T13:44:00.000,Austin (TX),Normal,Owner Surrender,Iris,Spayed Female
8 years,A704726,Dog,Border Collie Mix,Black,2015-06-08T12:37:00.000,2015-06-08T12:37:00.000,S Pleasant Valley Rd And Anken Dr in Austin (TX),Normal,Stray,* Joanie,Spayed Female
3 years,A723069,Dog,Labrador Retriever,Black,2016-03-26T09:27:00.000,2016-03-26T09:27:00.000,Big Sandy in Travis (TX),Normal,Stray,*Sprout,Intact Male
6 years,A718161,Dog,Beagle/Dachshund,Black/White,2015-12-22T19:53:00.000,2015-12-22T19:53:00.000,905 W Village in Austin (TX),Normal,Stray,Cosmo,Neutered Male
8 years,A706866,Cat,Domestic Shorthair Mix,Black/White,2015-07-04T12:30:00.000,2015-07-04T12:30:00.000,2801 Crest Ave in Austin (TX),Sick,Stray,,Intact Male
1 year,A684717,Cat,Domestic Shorthair Mix,Black,2014-07-27T15:16:00.000,2014-07-27T15:16:00.000,Austin (TX),Normal,Owner Surrender,Junies,Intact Male
6 months,A676453,Cat,Domestic Shorthair Mix,Black/White,2014-04-10T12:46:00.000,2014-04-10T12:46:00.000,12315 Cabana Lane in Austin (TX),Normal,Stray,,Unknown
1 year,A715813,Dog,Black/Tan Hound,Black/Tan,2016-03-14T18:10:00.000,2016-03-14T18:10:00.000,Austin (TX),Normal,Public Assist,Lola,Intact Female
